metric,group,n,mean,std,median,p25,p75
brightness_mean,TP,1198,29.73780048510467,7.335952857529433,30.22610378265381,24.63084363937378,34.687883377075195
brightness_mean,TN,1144,22.32600645064474,8.912241981029968,21.202746391296387,15.315564155578613,28.161191940307617
brightness_mean,FP,51,33.053297790826534,9.387707842800056,33.194515228271484,26.80634117126465,41.44261169433594
brightness_mean,FN,65,22.58088807326097,8.998634102376702,23.022918701171875,16.992944717407227,30.054628372192383
brightness_mean,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_mean,CORRECT,0,0.0,0.0,0.0,0.0,0.0
brightness_std,TP,1198,53.19134702825785,10.396929167368159,54.08994674682617,46.61650466918945,61.099164962768555
brightness_std,TN,1144,49.76122780613132,12.395523372900497,48.97253227233887,40.38605785369873,59.27719020843506
brightness_std,FP,51,57.85666966905781,13.920734793412294,57.234344482421875,50.151445388793945,70.21785736083984
brightness_std,FN,65,47.71607935978816,12.863912707790432,44.69477462768555,37.15849304199219,57.75019073486328
brightness_std,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,TP,1198,138.6792570951586,29.774377024274376,143.0,120.0,160.0
contrast_p95_p5,TN,1144,143.8402534965035,39.52849143363301,148.0,116.75,177.0
contrast_p95_p5,FP,51,149.98529411764707,36.858798534566546,155.0,127.5,181.5
contrast_p95_p5,FN,65,132.3923076923077,42.570735464974604,133.0,108.0,165.0
contrast_p95_p5,MIS,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,CORRECT,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,TP,1198,259.2848120675063,99.89292882885819,252.74034118652344,194.14208984375,314.8459701538086
sharpness_laplacian_var,TN,1144,394.5283192421173,168.58014763122182,390.5496063232422,268.06629943847656,521.7366943359375
sharpness_laplacian_var,FP,51,322.7703033896054,166.96908278908435,292.574462890625,186.07337188720703,489.25083923339844
sharpness_laplacian_var,FN,65,341.0500665517954,143.6110164975408,323.20086669921875,234.05137634277344,410.2233581542969
sharpness_laplacian_var,MIS,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,CORRECT,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,TP,1198,0.5549778632434098,0.054585985905970955,0.5629194350089546,0.5231523904907924,0.5909222919501669
snr_mean_over_std,TN,1144,0.4388580464734794,0.10383495994986232,0.4431481777270856,0.3602699339141192,0.5189675565793987
snr_mean_over_std,FP,51,0.5653162155692557,0.05783039137836061,0.5864529557204539,0.5438774002229855,0.6044316351623371
snr_mean_over_std,FN,65,0.4598248982967096,0.11317087379002273,0.48570742676224904,0.41050702273069556,0.5529324032858175
snr_mean_over_std,MIS,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
