metric,group,n,mean,std,median,p25,p75
brightness_mean,TP,1223,29.617851683475497,7.385241482015187,30.12332534790039,24.51481819152832,34.497249603271484
brightness_mean,TN,1138,22.53237883215001,9.146917256720572,21.206562995910645,15.332404851913452,28.396324634552002
brightness_mean,FP,57,27.803902734789933,8.633717006672452,26.94987678527832,23.89773941040039,32.01295471191406
brightness_mean,FN,40,21.775252425670622,9.77445824239231,22.86299228668213,14.50699496269226,29.01167917251587
brightness_mean,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_mean,CORRECT,0,0.0,0.0,0.0,0.0,0.0
brightness_std,TP,1223,53.04727204354786,10.46770311004056,54.04076385498047,46.488664627075195,61.037654876708984
brightness_std,TN,1138,50.073333830741255,12.612478778966473,49.31768989562988,40.42049026489258,60.041619300842285
brightness_std,FP,57,50.77334849039713,11.661450307699667,50.54595184326172,44.64030838012695,56.858863830566406
brightness_std,FN,40,48.69912972450256,13.587190436655163,45.93925476074219,37.619011878967285,61.031229972839355
brightness_std,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,TP,1223,138.32195421095668,29.93679468422043,142.0,119.5,160.0
contrast_p95_p5,TN,1138,144.66630052724076,39.73753312987879,149.0,117.0,178.0
contrast_p95_p5,FP,57,132.84649122807016,30.683790304795654,131.0,115.0,153.0
contrast_p95_p5,FN,40,139.3875,46.51002614545902,146.0,117.0,178.0
contrast_p95_p5,MIS,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,CORRECT,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,TP,1223,260.8907044193146,101.52688728751859,254.04029846191406,194.45720672607422,318.2666320800781
sharpness_laplacian_var,TN,1138,395.44798311994447,170.071183836077,394.4521789550781,265.9425735473633,525.9958801269531
sharpness_laplacian_var,FP,57,311.9627700939513,124.16904741074788,304.241455078125,214.87171936035156,389.8972473144531
sharpness_laplacian_var,FN,40,343.053191947937,144.9160828803293,324.38311767578125,229.20413208007812,472.52030181884766
sharpness_laplacian_var,MIS,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,CORRECT,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,TP,1223,0.5540112840282516,0.05548644035573202,0.562442225936379,0.5216086216531755,0.590564480791914
snr_mean_over_std,TN,1138,0.4395438377113809,0.10447367730715669,0.4431481777270856,0.3602142381646875,0.5196975161153263
snr_mean_over_std,FP,57,0.5383130674410713,0.07698160461996936,0.5505952290182868,0.49528587757339304,0.6013531548670359
snr_mean_over_std,FN,40,0.4299074547084851,0.12255282424795846,0.4691484335385072,0.31926786245008737,0.5399881782091273
snr_mean_over_std,MIS,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
